,HomeTeam,AwayTeam,ELO Home,ELO Away,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,HTFormPts
164,Sheffield,Newcastle,1602,1500,1,0,H,9,18,28,26,2,19,L,4,3,13,12,5,2,2,3,0,1,2.45,3.1,3.1,18,4,17,L,0
165,Burnley,Man Utd,1711,1934,0,1,A,9,33,21,24,16,33,L,0,7,15,13,3,4,1,2,0,0,7,4.5,1.45,18,3,17,L,0
166,Wolves,Everton,1757,1759,1,2,A,16,26,22,20,21,29,L,3,3,6,11,6,5,2,2,0,0,2.45,3.1,3.1,18,15,17,L,0
167,Man City,Brighton,2013,1696,1,0,H,25,17,13,24,32,13,W,6,1,4,12,8,4,0,2,0,0,1.14,8.5,16,18,18,17,W,3
168,Tottenham,Fulham,1813,1631,1,1,D,29,14,14,24,30,12,W,6,4,13,15,6,5,1,2,0,0,1.36,5,8.5,9,13,17,W,3
169,Arsenal,Crystal Palace,1830,1690,0,0,D,16,20,19,30,20,18,W,4,2,10,11,7,3,1,1,0,0,1.53,4,6.5,1,18,17,W,3
170,Wolves,West Brom,1757,1624,2,3,A,19,11,25,39,22,8,D,6,5,10,14,11,0,2,1,0,0,1.6,3.5,7,18,18,18,D,1
171,Leeds,Brighton,1727,1696,0,1,A,30,20,33,27,23,14,L,2,2,8,9,5,2,1,1,0,0,2.1,3.5,3.4,5,18,18,L,0
172,West Ham,Burnley,1804,1711,1,0,H,25,9,21,22,28,16,W,4,2,12,9,7,4,2,1,0,0,1.8,3.5,4.75,7,18,18,W,3
173,Fulham,Chelsea,1631,1885,0,1,A,14,31,25,20,12,26,L,3,6,11,10,1,12,2,3,1,0,6.5,4.33,1.5,13,6,18,L,0
174,Leicester,Southampton,1802,1693,2,0,H,31,26,21,19,32,29,W,5,3,10,11,2,5,2,2,0,0,1.8,3.75,4.5,20,11,18,W,3
