,HomeTeam,AwayTeam,ELO Home,ELO Away,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,HTFormPts
290,Aston Villa,Tottenham,1718,1813,2,5,A,41,42,37,23,37,50,L,8,7,11,6,10,3,1,1,1,0,1.22,6,15,8,9,30,L,0
291,Chelsea,West Brom,1885,1624,2,1,H,37,23,33,56,36,22,L,8,1,12,13,5,7,1,2,0,0,1.5,4.33,6.5,6,18,30,L,0
292,Leeds,Sheffield,1727,1602,0,2,A,48,22,51,40,43,21,L,2,4,13,12,1,1,2,3,0,0,6,4.2,1.53,5,18,30,L,0
293,Leicester,Man City,1802,2013,0,3,A,51,48,32,25,57,54,W,2,7,10,10,1,2,1,1,0,0,3.1,3.7,2.15,20,18,30,W,3
294,Arsenal,Liverpool,1830,1910,3,2,H,33,52,41,30,40,50,W,9,5,11,10,6,7,0,0,0,0,2.05,3.3,3.8,1,2,30,W,3
295,Southampton,Burnley,1693,1711,2,2,D,42,20,32,39,46,30,W,6,5,13,14,7,3,3,2,0,0,5.5,4,1.6,11,18,30,W,3
296,Newcastle,Tottenham,1500,1813,3,1,H,30,42,41,23,33,50,D,4,7,14,20,4,4,1,2,0,0,2.25,3.3,3.3,4,9,30,D,1
297,Aston Villa,Fulham,1718,1631,2,1,H,41,30,37,41,37,27,L,7,3,14,7,5,6,2,2,0,0,1.61,4,5.5,8,13,30,L,0
298,Man Utd,Brighton,1934,1696,1,1,D,47,35,44,43,51,32,L,7,6,10,10,3,4,2,0,0,0,1.75,3.5,5,3,18,30,L,0
299,Everton,Crystal Palace,1759,1690,2,3,A,45,32,34,50,53,31,L,5,6,9,9,4,2,1,4,0,0,2.87,3.2,2.55,15,18,30,L,0
300,Wolves,West Ham,1757,1804,0,1,A,38,46,42,32,33,56,L,3,3,11,8,3,4,0,0,0,0,2.5,3,3.1,18,7,31,L,0
301,Fulham,Wolves,1631,1757,1,2,A,33,38,41,42,30,33,W,7,2,12,15,9,3,3,1,0,1,1.28,5.75,10,13,18,31,W,3
302,Man City,Leeds,2013,1727,2,1,H,50,48,26,53,57,43,W,10,5,16,11,7,0,2,4,0,0,1.5,4.33,6.5,18,5,31,W,3
303,Liverpool,Aston Villa,1910,1718,1,4,A,54,43,33,38,50,40,L,1,10,7,12,0,8,1,0,0,0,7,3.8,1.53,2,8,31,L,0
304,Crystal Palace,Chelsea,1690,1885,1,2,A,35,39,52,34,34,39,W,4,5,11,12,13,3,1,0,0,0,2.3,3.1,3.4,18,6,31,W,3
305,Burnley,Newcastle,1711,1500,3,2,H,22,33,41,42,31,36,D,4,5,7,13,1,9,3,3,0,0,3,3.3,2.37,18,4,31,D,1
306,West Ham,Leicester,1804,1802,1,3,A,46,51,32,35,56,57,W,3,7,11,15,7,5,1,5,0,0,2.87,3.4,2.45,7,20,31,W,3
307,Tottenham,Man Utd,1813,1934,0,3,A,43,48,26,45,50,52,L,2,5,9,6,2,4,1,1,0,0,6.5,3.75,1.57,9,3,31,L,0
308,Sheffield,Arsenal,1602,1830,3,0,H,24,36,40,43,24,43,W,6,4,12,11,5,10,0,1,0,0,3.6,3.3,2.1,18,1,31,W,3
309,West Brom,Southampton,1624,1693,0,0,D,24,44,58,34,22,47,L,3,1,12,7,10,3,1,2,0,0,2.25,3.3,3.3,18,11,31,L,0
310,Brighton,Everton,1696,1759,4,2,H,40,49,46,41,36,53,W,7,4,8,15,4,6,2,2,0,0,1.75,3.9,5,18,15,32,W,3
311,Everton,Tottenham,1759,1813,0,3,A,49,43,41,29,53,50,L,4,9,14,20,4,5,1,5,1,0,10,5.25,1.36,15,9,32,L,0
312,Newcastle,West Ham,1500,1804,3,0,H,35,47,45,35,36,56,L,6,3,11,10,5,8,0,1,0,0,4.5,3.9,1.83,4,7,32,L,0
313,Southampton,Crystal Palace,1693,1690,2,2,D,44,36,34,54,48,34,D,4,2,10,16,8,5,0,2,0,0,1.73,3.6,4.75,11,18,32,D,1
314,Wolves,Sheffield,1757,1602,3,1,H,40,27,43,40,36,27,W,7,6,15,14,6,7,2,0,0,0,1.4,4.5,8,18,18,32,W,3
315,Arsenal,Fulham,1830,1631,0,3,A,36,34,46,43,43,30,L,1,5,9,8,3,8,3,0,0,0,4.33,4,1.73,1,13,32,L,0
316,Man Utd,Burnley,1934,1711,3,1,H,51,25,45,43,55,34,W,4,3,12,5,3,7,0,2,0,0,1.95,3.3,4,3,18,32,W,3
317,Leeds,Liverpool,1727,1910,2,2,D,49,55,55,37,43,50,L,4,3,14,10,8,1,1,0,0,1,3.3,3.25,2.2,5,2,32,L,0
318,Chelsea,Brighton,1885,1696,4,0,H,41,40,35,46,42,36,W,14,1,8,10,13,1,0,1,0,0,1.25,6,10,6,18,32,W,3
319,Tottenham,Southampton,1813,1693,1,0,H,43,44,29,34,50,48,L,7,4,8,13,6,2,0,0,0,0,2.4,3.3,2.9,9,11,32,L,0
320,Aston Villa,Man City,1718,2013,2,0,H,49,55,39,27,46,63,W,3,0,16,20,1,3,3,3,0,0,2.55,3.2,2.8,8,18,33,W,3
321,Leicester,West Brom,1802,1624,0,1,A,54,25,37,58,60,26,L,2,2,15,9,4,4,3,1,0,0,4,3.8,1.8,20,18,33,L,0
322,Arsenal,Everton,1830,1759,1,2,A,36,49,49,44,43,53,L,5,4,11,16,2,4,2,2,0,0,7,4,1.5,1,15,33,L,0
323,Liverpool,Newcastle,1910,1500,4,0,H,57,38,39,45,51,39,D,10,2,4,14,4,3,0,2,0,1,1.85,3.75,4.5,2,4,33,D,1
324,West Ham,Chelsea,1804,1885,2,0,H,47,45,38,35,56,45,L,3,2,10,11,4,7,3,1,1,0,1.91,3.7,4.33,7,6,33,L,0
325,Sheffield,Brighton,1602,1696,2,0,H,28,40,43,50,27,36,L,6,3,5,14,11,4,2,2,0,0,2.2,3.4,3.6,18,18,33,L,0
326,Wolves,Burnley,1757,1711,0,0,D,43,26,44,46,39,34,W,3,0,9,15,8,4,2,3,0,0,3.3,3.6,2.25,18,18,33,W,3
327,Leeds,Man Utd,1727,1934,0,2,A,51,54,57,46,44,58,D,0,6,17,16,3,3,2,1,0,0,5.75,4,1.67,5,3,33,D,1
328,Aston Villa,West Brom,1718,1624,1,2,A,49,25,39,58,46,26,W,1,3,8,10,4,3,1,2,0,0,1.5,4.75,7,8,18,33,W,3
329,Leicester,Crystal Palace,1802,1690,4,2,H,54,38,37,56,60,35,L,7,4,13,9,6,7,2,2,0,0,1.45,4.6,8.5,20,18,33,L,0
330,Brighton,Leeds,1696,1727,1,0,H,40,51,52,59,36,44,L,5,3,9,13,12,1,2,4,0,0,1.6,4.5,5.75,18,5,34,L,0
331,Burnley,West Ham,1711,1804,0,1,A,26,49,46,38,35,59,D,1,4,13,15,2,11,3,3,0,0,5.5,4.2,1.65,18,7,34,D,1
332,Chelsea,Fulham,1885,1631,1,0,H,45,38,37,45,45,33,L,2,4,15,11,3,5,3,3,0,0,2.3,3.4,3.4,6,13,34,L,0
333,Crystal Palace,Man City,1690,2013,0,0,D,40,55,60,29,35,63,L,6,1,10,8,7,4,1,0,0,1,1.91,3.75,4.2,18,18,34,L,0
334,Everton,Aston Villa,1759,1718,0,2,A,51,50,45,41,56,46,W,5,3,11,12,14,4,2,0,0,0,1.75,3.5,4.75,15,8,34,W,3
335,Man Utd,Liverpool,1934,1910,0,0,D,56,61,46,39,61,54,W,2,1,9,13,6,6,0,3,0,0,1.6,3.75,5.75,3,2,34,W,3
336,Newcastle,Arsenal,1500,1830,0,0,D,38,37,49,51,39,43,L,4,4,12,3,5,3,1,0,0,0,2,3.5,3.6,4,1,34,L,0
337,Southampton,Leicester,1693,1802,0,1,A,46,58,37,39,49,63,L,5,7,13,9,6,5,3,2,0,0,3,3.4,2.3,11,20,34,L,0
338,Tottenham,Sheffield,1813,1602,0,1,A,47,30,29,43,56,30,W,4,1,14,9,5,6,2,2,0,0,2.4,3.5,2.75,9,18,34,W,3
339,West Brom,Wolves,1624,1757,0,3,A,27,43,59,44,29,40,W,4,5,13,11,2,4,3,4,0,0,3.5,3.6,2,18,18,34,W,3
340,Arsenal,West Brom,1830,1624,1,1,D,37,27,51,62,44,29,D,6,4,11,13,5,2,2,2,0,0,1.36,4.75,8,1,18,35,D,1
341,Aston Villa,Man Utd,1718,1934,2,2,D,52,56,41,46,49,62,W,6,4,9,9,4,11,4,4,0,0,13,5.25,1.25,8,3,35,W,3
342,Fulham,Burnley,1631,1711,2,0,H,38,26,46,47,33,35,L,11,4,7,15,14,5,1,3,0,0,1.85,3.75,4,13,18,35,L,0
343,Leeds,Tottenham,1727,1813,0,1,A,51,47,60,30,44,56,L,2,8,11,9,3,5,3,1,0,0,5.75,4.5,1.5,5,9,35,L,0
344,Leicester,Newcastle,1802,1500,1,0,H,59,38,39,49,66,40,W,5,5,8,9,3,7,4,2,0,0,8.5,5.25,1.4,20,4,35,W,3
345,Liverpool,Southampton,1910,1693,2,2,D,61,46,39,38,55,49,D,2,3,10,15,0,7,2,0,0,0,2.25,3.6,3.3,2,11,35,D,1
346,Man City,Chelsea,2013,1885,2,2,D,55,46,29,37,64,48,D,4,3,9,14,5,8,1,3,0,0,2.25,3.3,3.6,18,6,35,D,1
347,Sheffield,Crystal Palace,1602,1690,0,2,A,31,40,43,60,33,36,W,6,5,10,8,7,4,3,1,0,0,1.44,4.75,8,18,18,35,W,3
348,West Ham,Everton,1804,1759,3,0,H,50,51,38,47,62,56,W,5,7,8,10,10,1,0,0,0,0,1.57,4.2,6.5,7,15,35,W,3
349,Wolves,Brighton,1757,1696,5,0,H,46,41,44,52,43,39,W,12,2,12,8,9,3,1,3,0,0,1.29,6.5,11,18,18,35,W,3
350,Brighton,West Ham,1696,1804,1,0,H,41,53,57,38,39,65,L,4,2,5,13,9,5,0,0,0,0,2.8,3.5,2.63,18,7,36,L,0
351,Burnley,Leeds,1711,1727,2,0,H,26,51,49,61,35,44,L,4,4,14,10,5,9,1,0,0,0,1.91,3.7,4.33,18,5,36,L,0
352,Everton,Sheffield,1759,1602,0,0,D,51,31,50,45,56,33,L,8,0,9,4,3,6,1,3,0,0,1.62,4.2,6,15,18,36,L,0
353,Man Utd,Leicester,1934,1802,3,0,H,58,60,48,39,63,69,D,7,1,8,21,8,1,0,2,0,0,1.17,9,19,3,20,36,D,1
354,West Brom,Liverpool,1624,1910,0,2,A,28,63,63,41,30,56,D,3,4,5,5,8,5,1,2,0,0,3.6,3.8,2.05,18,2,36,D,1
355,Crystal Palace,Aston Villa,1690,1718,1,0,H,42,54,60,43,39,50,W,6,2,7,11,9,8,0,3,0,0,1.5,4.5,7.5,18,8,36,W,3
356,Chelsea,Arsenal,1885,1830,0,1,A,48,38,39,52,49,45,D,2,5,13,8,5,8,3,0,0,0,10,5.25,1.36,6,1,36,D,1
357,Newcastle,Man City,1500,2013,2,1,H,38,57,50,31,40,65,L,6,3,6,11,7,1,0,1,0,0,1.91,3.75,4.2,4,18,36,L,0
358,Southampton,Fulham,1693,1631,2,1,H,48,40,40,46,50,36,D,5,4,12,16,9,3,3,3,0,0,1.25,7,12,11,13,36,D,1
359,Tottenham,Wolves,1813,1757,1,2,A,48,51,30,44,59,46,W,3,4,19,11,6,3,3,0,0,0,4,3.6,2,9,18,36,W,3
360,Brighton,Man City,1696,2013,1,4,A,42,58,57,33,42,65,W,4,6,13,7,7,6,1,2,0,0,4.75,4.1,1.75,18,18,37,W,3
361,Burnley,Liverpool,1711,1910,0,2,A,28,65,49,41,38,59,W,4,3,13,6,8,4,4,0,0,0,4.2,3.8,1.91,18,2,37,W,3
362,Chelsea,Leicester,1885,1802,4,0,H,48,60,40,42,49,69,L,4,0,13,14,3,7,3,5,0,0,2.1,3.6,3.75,6,20,37,L,0
363,Crystal Palace,Arsenal,1690,1830,2,1,H,43,39,60,52,42,48,W,7,2,14,15,8,3,1,2,0,0,1.73,3.9,5.25,18,1,37,W,3
364,Everton,Wolves,1759,1757,0,4,A,51,53,50,45,57,49,D,3,11,5,10,4,6,2,0,0,0,5.25,4,1.7,15,18,37,D,1
365,Man Utd,Fulham,1934,1631,4,3,H,61,41,48,48,66,36,W,9,3,7,12,8,3,2,4,0,1,1.25,6.75,13,3,13,37,W,3
366,Newcastle,Sheffield,1500,1602,2,0,H,40,31,51,45,43,34,W,13,2,15,10,17,3,4,2,0,0,1.09,13,29,4,18,37,W,3
367,Southampton,Leeds,1693,1727,3,1,H,50,51,41,63,53,44,W,10,2,8,11,7,1,1,2,0,0,1.14,9,23,11,5,37,W,3
368,Tottenham,Aston Villa,1813,1718,0,0,D,49,54,32,44,59,50,L,6,1,7,10,7,3,2,1,0,0,2.75,3.3,2.8,9,8,37,L,0
369,West Brom,West Ham,1624,1804,1,6,A,28,53,65,39,30,65,L,5,12,11,8,4,4,3,1,0,0,4.5,3.8,1.85,18,7,37,L,0
370,Arsenal,Brighton,1830,1696,3,1,H,40,43,54,61,48,42,L,9,7,10,15,4,6,2,4,1,0,1.45,5,7.5,1,18,38,L,0
371,Aston Villa,Chelsea,1718,1885,1,2,A,54,52,44,40,51,52,D,1,4,11,14,2,5,2,2,0,0,2.45,3.5,3,8,6,38,D,1
372,Fulham,Newcastle,1631,1500,5,1,H,44,42,52,51,36,46,L,8,3,8,15,11,1,1,1,0,0,1.14,9,23,13,4,38,L,0
373,Leeds,West Brom,1727,1624,1,7,A,52,29,66,71,44,30,L,4,14,14,5,2,3,0,0,0,0,7,4.75,1.5,5,18,38,L,0
374,Leicester,Tottenham,1802,1813,1,1,D,60,49,46,32,69,60,L,5,4,11,10,9,1,4,1,0,0,2,3.6,4,20,9,38,L,0
375,Liverpool,Crystal Palace,1910,1690,3,0,H,67,45,41,61,62,45,W,10,3,13,8,3,3,0,1,0,0,1.14,9,23,2,18,38,W,3
376,Man City,Everton,2013,1759,2,0,H,62,51,34,54,68,57,W,2,1,16,10,3,6,2,0,0,0,2.5,3.3,3.1,18,15,38,W,3
377,Sheffield,Burnley,1602,1711,0,1,A,31,28,47,51,34,38,L,6,3,12,10,4,10,2,4,0,0,1.8,3.8,4.75,18,18,38,L,0
378,West Ham,Southampton,1804,1693,2,1,H,59,53,40,42,68,56,W,2,5,8,10,7,4,1,1,0,0,2.1,3.5,3.75,7,11,38,W,3
379,Wolves,Man Utd,1757,1934,0,5,A,57,65,45,51,52,69,W,3,9,12,10,4,5,1,0,0,0,11,6,1.3,18,3,38,W,3
