,HomeTeam,AwayTeam,ELO Home,ELO Away,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM1Conv,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,HTFormPts
0,Bournemouth,Aston Villa,1600,1718,0,1,A,0,0,0,0,0,0,M,0,2,3,13,13,6,3,3,4,0,0,2,3.6,4,18,8,1,M,0
1,Chelsea,Swansea,1885,1600,2,2,D,0,0,0,0,0,0,M,0,3,10,15,16,4,8,1,3,1,0,1.36,5,11,6,18,1,M,0
2,Everton,Watford,1759,1600,2,2,D,0,0,0,0,0,0,M,0,5,5,7,13,8,2,1,2,0,0,1.7,3.9,5.5,15,18,1,M,0
3,Leicester,Sunderland,1802,1600,4,2,H,0,0,0,0,0,0,M,0,8,5,13,17,6,3,2,4,0,0,1.95,3.5,4.33,20,17,1,M,0
4,Man United,Tottenham,1600,1813,1,0,H,0,0,0,0,0,0,M,0,1,4,12,12,1,2,2,3,0,0,1.65,4,6,3,9,1,M,0
5,Norwich,Crystal Palace,1600,1690,1,3,A,0,0,0,0,0,0,M,0,6,7,14,20,1,4,1,0,0,0,2.55,3.3,3,18,18,1,M,0
6,Arsenal,West Ham,1830,1804,0,2,A,0,0,0,0,0,0,M,0,6,4,12,9,5,4,1,3,0,0,1.29,6,12,1,7,1,M,0
7,Newcastle,Southampton,1500,1693,2,2,D,0,0,0,0,0,0,M,0,4,5,9,12,6,6,2,4,0,0,2.88,3.3,2.7,4,11,1,M,0
8,Stoke,Liverpool,1600,1910,0,1,A,0,0,0,0,0,0,M,0,1,3,9,16,3,5,2,4,0,0,3.4,3.4,2.3,18,2,1,M,0
9,West Brom,Man City,1624,2013,0,3,A,0,0,0,0,0,0,M,0,2,7,12,9,6,6,4,1,0,0,5.75,4,1.67,18,18,1,M,0
10,Aston Villa,Man United,1718,1600,0,1,A,1,1,0,0,3,3,W,5,1,2,14,10,3,5,2,2,0,0,5.5,3.8,1.73,8,3,2,W,5
11,Southampton,Everton,1693,1759,0,3,A,2,2,2,2,1,1,D,3,4,4,11,10,9,9,4,2,0,0,1.95,3.6,4.33,11,15,2,D,3
12,Sunderland,Norwich,1600,1600,1,3,A,2,1,4,3,0,0,L,0,2,6,7,7,6,6,1,2,0,0,2.5,3.3,3.1,17,18,2,L,0
13,Swansea,Newcastle,1600,1500,2,0,H,2,2,2,2,1,1,D,3,6,2,11,8,4,4,2,1,0,1,1.95,3.6,4.33,18,4,2,D,3
14,Tottenham,Stoke,1813,1600,2,2,D,0,0,1,1,0,0,L,0,7,7,15,11,4,3,2,2,0,0,1.8,3.75,5,9,18,2,L,0
15,Watford,West Brom,1600,1624,0,0,D,2,0,2,3,1,0,D,3,5,0,13,10,2,4,1,2,0,0,2.3,3.4,3.4,18,18,2,D,3
16,West Ham,Leicester,1804,1802,1,2,A,2,4,0,2,3,3,W,5,3,6,11,12,8,4,1,3,1,0,2.25,3.5,3.4,7,20,2,W,5
17,Crystal Palace,Arsenal,1690,1830,1,2,A,3,0,1,2,3,0,W,5,4,7,14,12,6,6,1,1,0,0,5.25,3.9,1.73,18,1,2,W,5
18,Man City,Chelsea,2013,1885,3,0,H,3,2,0,2,3,1,W,5,8,3,19,13,5,1,4,2,0,0,2.1,3.5,3.75,18,6,2,W,5
