,HomeTeam,AwayTeam,ELO Home,ELO Away,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM1Conv,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,HTFormPts
0,Liverpool,Norwich,1910,1600,4,1,H,0,0,0,0,0,0,M,0,7,5,9,9,11,2,0,2,0,0,1.14,10,19,2,18,1,M,0
1,West Ham,Man City,1804,2013,0,5,A,0,0,0,0,0,0,M,0,3,9,6,13,1,1,2,2,0,0,12,6.5,1.22,7,18,1,M,0
2,Bournemouth,Sheffield United,1600,1600,1,1,D,0,0,0,0,0,0,M,0,3,3,10,19,3,4,2,1,0,0,1.95,3.6,3.6,18,18,1,M,0
3,Burnley,Southampton,1711,1693,3,0,H,0,0,0,0,0,0,M,0,4,3,6,12,2,7,0,0,0,0,2.62,3.2,2.75,18,11,1,M,0
4,Crystal Palace,Everton,1690,1759,0,0,D,0,0,0,0,0,0,M,0,2,3,16,14,6,2,2,1,0,1,3,3.25,2.37,18,15,1,M,0
5,Watford,Brighton,1600,1696,0,3,A,0,0,0,0,0,0,M,0,3,3,15,11,5,2,0,1,0,0,1.9,3.4,4,18,18,1,M,0
6,Tottenham,Aston Villa,1813,1718,3,1,H,0,0,0,0,0,0,M,0,7,4,13,9,14,0,1,0,0,0,1.3,5.25,10,9,8,1,M,0
7,Leicester,Wolves,1802,1757,0,0,D,0,0,0,0,0,0,M,0,1,2,3,13,12,3,0,2,0,0,2.2,3.2,3.4,20,18,1,M,0
8,Newcastle,Arsenal,1500,1830,0,1,A,0,0,0,0,0,0,M,0,2,2,12,7,5,3,1,3,0,0,4.5,3.75,1.72,4,1,1,M,0
9,Man United,Chelsea,1600,1885,4,0,H,0,0,0,0,0,0,M,0,5,7,15,13,3,5,3,4,0,0,2.1,3.3,3.5,3,6,1,M,0
10,Arsenal,Burnley,1830,1711,2,1,H,1,3,0,0,3,3,W,5,9,5,13,11,10,7,2,1,0,0,1.3,5.5,10,1,18,2,W,5
11,Aston Villa,Bournemouth,1718,1600,1,2,A,1,1,3,1,0,1,L,0,7,4,10,13,10,5,0,2,0,0,2.3,3.4,3.1,8,18,2,L,0
12,Brighton,West Ham,1696,1804,1,1,D,3,0,0,5,3,0,W,5,4,3,11,10,8,6,0,2,0,0,2.55,3.25,2.87,18,7,2,W,5
13,Everton,Watford,1759,1600,1,0,H,0,0,0,3,1,0,D,3,2,2,11,11,4,7,2,3,0,0,1.72,3.8,4.75,15,18,2,D,3
14,Norwich,Newcastle,1600,1500,3,1,H,1,0,4,1,0,0,L,0,8,3,9,11,7,5,1,3,0,0,2.25,3.3,3.3,18,4,2,L,0
15,Southampton,Liverpool,1693,1910,1,2,A,0,4,3,1,0,3,L,0,3,6,10,6,5,9,2,1,0,0,6.5,4.75,1.44,11,2,2,L,0
16,Man City,Tottenham,2013,1813,2,2,D,5,3,0,1,3,3,W,5,10,2,14,4,13,2,1,0,0,0,1.36,5.25,8,18,9,2,W,5
17,Sheffield United,Crystal Palace,1600,1690,1,0,H,1,0,1,0,1,1,D,3,3,4,16,11,8,4,3,1,0,0,2.55,3.1,2.9,18,18,2,D,3
18,Chelsea,Leicester,1885,1802,1,1,D,0,0,4,0,0,1,L,0,5,3,9,14,4,5,1,0,0,0,1.7,3.75,5,6,20,2,L,0
19,Wolves,Man United,1757,1600,1,1,D,0,4,0,0,1,3,D,3,2,2,17,8,4,6,2,2,0,0,3.3,3.3,2.25,18,3,2,D,3
20,Aston Villa,Everton,1718,1759,2,0,H,2,1,5,0,0,4,L,0,3,1,10,18,0,6,2,3,0,0,3.25,3.5,2.15,8,15,3,L,0
21,Norwich,Chelsea,1600,1885,2,3,A,4,1,5,5,3,1,W,5,5,8,9,9,1,8,1,1,0,0,4.33,3.75,1.8,18,6,3,W,5
22,Brighton,Southampton,1696,1693,0,2,A,4,1,1,5,4,0,D,3,3,4,9,10,8,5,1,3,1,0,2.4,3.3,3,18,11,3,D,3
23,Man United,Crystal Palace,1600,1690,1,2,A,5,0,1,1,4,1,D,3,3,3,8,18,8,1,2,4,0,0,1.33,5.25,9,3,18,3,D,3
24,Sheffield United,Leicester,1600,1802,1,2,A,2,1,1,1,4,2,W,5,3,2,11,6,7,4,1,0,0,0,3.3,3.3,2.25,18,20,3,W,5
25,Watford,West Ham,1600,1804,1,3,A,0,1,4,6,0,1,L,0,3,10,12,11,8,7,1,1,0,0,2.05,3.5,3.5,18,7,3,L,0
26,Liverpool,Arsenal,1910,1830,3,1,H,6,3,2,1,6,6,W,5,5,3,8,5,6,4,1,1,0,0,1.5,4.6,6,2,1,3,W,5
27,Bournemouth,Man City,1600,2013,1,3,A,3,7,2,2,4,4,W,5,7,5,7,13,4,5,1,3,0,0,15,7.5,1.16,18,18,3,W,5
28,Tottenham,Newcastle,1813,1500,0,1,A,5,1,3,4,4,0,D,3,2,3,10,5,6,6,2,2,0,0,1.2,6.5,14,9,4,3,D,3
29,Wolves,Burnley,1757,1711,1,1,D,1,4,1,2,2,3,D,3,2,4,9,11,4,3,0,2,0,0,1.85,3.4,4.5,18,18,3,D,3
