,HomeTeam,AwayTeam,ELO Home,ELO Away,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM1Conv,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,HTFormPts
356,Everton,Southampton,1759,1693,1,1,D,40,35,54,54,45,32,W,5,3,5,14,12,3,4,2,4,0,1,2.89,3.29,2.62,15,11,36,W,5
357,Leicester,West Ham,1802,1804,0,2,A,49,43,52,67,44,35,L,0,2,3,8,9,8,3,1,2,0,0,2.25,3.5,3.39,20,7,36,L,0
358,Stoke,Crystal Palace,1600,1690,1,2,A,32,36,65,54,29,35,D,3,2,2,18,12,1,7,5,2,0,0,2.7,3.39,2.79,18,18,36,D,3
359,Watford,Newcastle,1600,1500,2,1,H,42,35,60,44,38,41,D,3,8,1,9,11,2,5,2,1,0,0,2.37,3.39,3.2,18,4,36,D,3
360,West Brom,Tottenham,1624,1813,1,0,H,30,68,54,32,28,71,W,5,1,5,13,12,5,9,4,1,0,0,8,4.75,1.44,18,9,37,W,5
361,Arsenal,Burnley,1830,1711,5,0,H,72,35,48,32,60,54,W,5,8,2,6,7,4,5,0,1,0,0,1.57,4.2,6.5,1,18,37,W,5
362,Chelsea,Liverpool,1885,1910,1,0,H,61,80,34,37,69,72,W,5,4,5,12,9,3,1,3,2,0,0,2.25,3.6,3.29,6,2,37,W,5
363,Man City,Huddersfield,2013,1600,0,0,D,102,27,26,56,94,36,D,3,2,3,9,4,10,1,0,3,0,0,1.08,13,34,18,18,37,D,3
364,Swansea,Southampton,1600,1693,0,1,A,27,36,53,55,33,33,L,0,3,8,7,15,7,6,2,1,0,0,3.1,3.25,2.54,18,11,37,L,0
365,Chelsea,Huddersfield,1885,1600,1,1,D,61,27,34,56,69,36,W,5,5,2,7,10,9,0,0,1,0,0,1.16,8.5,19,6,18,37,W,5
366,Leicester,Arsenal,1802,1830,3,1,H,49,72,54,48,44,60,L,0,10,7,7,12,6,6,2,2,0,1,3.75,3.79,2,20,1,37,L,0
367,Man City,Brighton,2013,1696,3,1,H,102,33,26,47,94,40,D,3,7,3,5,7,4,3,0,1,0,0,1.12,10,27,18,18,37,D,3
368,Tottenham,Newcastle,1813,1500,1,0,H,68,36,32,46,71,41,L,0,7,3,10,8,6,4,2,3,0,0,1.18,8.5,17,9,4,37,L,0
369,West Ham,Man United,1804,1600,0,0,D,45,67,67,28,38,77,W,5,2,6,12,12,1,6,1,1,0,0,4.75,3.79,1.8,7,3,37,W,5
370,Burnley,Bournemouth,1711,1600,1,2,A,35,43,37,60,54,41,L,0,4,5,14,9,7,8,0,0,0,0,2.14,3.5,3.6,18,18,38,L,0
371,Crystal Palace,West Brom,1690,1624,2,0,H,43,31,55,54,41,31,W,5,5,1,10,11,4,2,2,3,0,0,1.8,3.79,4.75,18,18,38,W,5
372,Huddersfield,Arsenal,1600,1830,0,1,A,28,73,57,51,37,60,D,3,3,4,11,7,7,4,1,0,0,0,6,4.33,1.6,18,1,38,D,3
373,Liverpool,Brighton,1910,1696,4,0,H,80,34,38,50,72,40,L,0,11,1,3,6,7,3,0,0,0,0,1.19,8,15,2,18,38,L,0
374,Man United,Watford,1600,1600,1,0,H,67,44,28,63,78,41,D,3,1,3,6,11,6,5,4,0,0,0,1.39,5.25,8.5,3,18,38,D,3
375,Newcastle,Chelsea,1500,1885,3,0,H,36,62,47,35,41,70,L,0,6,2,11,10,4,2,0,1,0,0,6.5,4.2,1.6,4,6,38,L,0
376,Southampton,Man City,1693,2013,0,1,A,37,105,55,27,36,97,W,5,3,2,8,10,1,12,3,1,0,0,9,5,1.39,11,18,38,W,5
377,Swansea,Stoke,1600,1600,1,2,A,27,33,54,67,33,30,L,0,11,5,12,9,6,0,1,2,0,0,1.9,3.79,4.2,18,18,38,L,0
378,Tottenham,Leicester,1813,1802,5,4,H,69,52,32,55,74,47,W,5,6,9,9,13,4,4,1,2,0,0,1.33,6,9,9,20,38,W,5
379,West Ham,Everton,1804,1759,3,1,H,45,43,67,55,39,49,D,3,4,7,10,13,6,6,0,1,0,0,2.45,3.5,3,7,15,38,D,3
