,HomeTeam,AwayTeam,ELO Home,ELO Away,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM1Conv,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,HTFormPts
0,Burnley,Swansea,1711,1600,0,1,A,0,0,0,0,0,0,M,0,3,9,10,14,7,4,3,2,0,0,2.4,3.3,3.25,18,18,1,M,0
1,Crystal Palace,West Brom,1690,1624,0,1,A,0,0,0,0,0,0,M,0,4,3,12,15,3,6,2,2,0,0,2,3.3,4.5,18,18,1,M,0
2,Everton,Tottenham,1759,1813,1,1,D,0,0,0,0,0,0,M,0,6,4,10,14,5,6,0,0,0,0,3.2,3.4,2.4,15,9,1,M,0
3,Hull,Leicester,1600,1802,2,1,H,0,0,0,0,0,0,M,0,5,5,8,17,5,3,2,2,0,0,4.5,3.6,1.91,18,20,1,M,0
4,Man City,Sunderland,2013,1600,2,1,H,0,0,0,0,0,0,M,0,4,3,11,14,9,6,1,2,0,0,1.25,6.5,15,18,17,1,M,0
5,Middlesbrough,Stoke,1600,1600,1,1,D,0,0,0,0,0,0,M,0,2,1,18,14,9,6,3,5,0,0,2.38,3.2,3.4,12,18,1,M,0
6,Southampton,Watford,1693,1600,1,1,D,0,0,0,0,0,0,M,0,6,1,8,12,6,2,1,2,0,1,1.8,3.75,5,11,18,1,M,0
7,Arsenal,Liverpool,1830,1910,3,4,A,0,0,0,0,0,0,M,0,5,7,13,17,5,4,3,3,0,0,2.4,3.5,3.1,1,2,1,M,0
8,Bournemouth,Man United,1600,1600,1,3,A,0,0,0,0,0,0,M,0,3,7,7,10,4,2,0,1,0,0,4.75,3.6,1.85,18,3,1,M,0
9,Chelsea,West Ham,1885,1804,2,1,H,0,0,0,0,0,0,M,0,6,3,16,16,7,1,5,2,0,0,1.65,4,6,6,7,1,M,0
10,Man United,Southampton,1600,1693,2,0,H,3,1,1,1,3,1,W,5,5,1,11,8,4,0,0,0,0,0,1.53,4.2,7.5,3,11,2,W,5
11,Burnley,Liverpool,1711,1910,2,0,H,0,4,1,3,0,3,L,0,2,5,14,5,1,12,0,1,0,0,6.5,4.2,1.57,18,2,2,L,0
12,Leicester,Arsenal,1802,1830,0,0,D,1,3,2,4,0,0,L,0,1,4,11,7,2,7,1,2,0,0,2.88,3.6,2.5,20,1,2,L,0
13,Stoke,Man City,1600,2013,1,4,A,1,2,1,1,1,3,D,3,3,6,12,13,7,7,3,4,0,0,5.5,3.8,1.73,18,18,2,D,3
